SaleID,price,true
86206,3020,3590
89747,1754,1800
98876,458,499
110465,46693,36000
147211,489,499
18734,905,1200
52610,9179,6999
145180,433,419
71676,24346,24500
101781,1255,1250
123059,4996,4500
111576,612,600
43266,640,650
44337,18701,19800
95427,5618,5200
74904,2940,1995
37586,2270,2200
11474,16427,15800
57576,1570,1599
72127,3991,4200
130372,3706,3500
41868,2793,2899
2946,762,999
48676,7278,7500
45771,7763,5999
54743,374,300
123182,13888,13500
50698,2316,2250
78696,4880,5555
72214,3034,3750
56538,7283,6973
5185,4706,4400
43755,36051,35450
102959,5295,4800
121625,4544,4450
2111,971,999
1899,14173,15350
85732,23704,21560
42927,5970,6000
56390,1251,1200
72673,2004,2100
68040,11651,13200
86215,13556,13990
148313,2472,2450
47024,4030,3900
95816,785,800
20737,4440,4650
34229,3692,4299
26829,1317,1250
42834,1282,1350
47059,4527,4650
70129,678,900
83538,962,1000
59919,642,650
76775,7937,8650
13824,3025,3000
104101,1466,1450
90288,2604,2600
62361,1305,1100
49618,2566,2599
139590,501,500
126747,2810,2999
145162,9256,9050
129811,7675,7999
48790,3016,3000
58170,7648,7800
3438,492,500
71145,8132,7999
13792,14403,14500
12264,991,999
39196,8872,9400
85412,7043,12000
96327,15474,16500
10317,1014,1050
19366,23966,25420
119945,1192,1200
80943,546,600
116359,1131,1150
92078,1827,1850
34241,442,250
13634,2843,2800
47705,2065,1990
65260,1055,1150
68203,8960,9990
114685,2564,2600
81638,8762,9490
62202,7158,7500
67019,9214,8050
85561,2934,2900
98227,9010,10990
37355,1719,650
62792,676,700
135083,492,500
121503,7271,8990
126105,8158,9290
33559,15199,15900
131365,2879,2800
37759,10214,11300
58870,8894,8799
80122,10481,10500
77760,1489,260
11294,4578,4600
54355,2142,2000
10864,1400,1400
23695,5531,5450
73035,803,1700
83926,4261,3890
59475,3697,3600
99725,119,130
147709,799,400
66986,1703,1700
45676,270,480
91706,105,100
30301,12508,11990
99385,736,700
59617,14156,13750
120747,1269,1299
142462,1984,1399
63757,3678,3500
54496,3758,4200
65739,13538,13900
113117,25255,27999
66035,644,650
51044,1176,1200
21669,2723,2600
20274,349,110
5483,18211,18000
82351,33324,32990
7620,407,400
6350,17554,17200
59494,27252,23300
96080,2593,2600
8441,1335,1300
38721,2139,2000
65213,851,940
54963,437,400
91927,293,300
94964,4473,4200
61844,1206,1250
146920,4020,4190
24182,21818,23500
73397,18418,18930
52831,8601,8290
131960,10542,9800
109841,12094,12900
140353,3078,2800
134615,8107,8800
5359,4285,4250
