SaleID,price,true
0,145,1850
1,165,3600
2,348,6222
3,199,2400
4,273,5200
5,386,8000
6,182,3500
7,90,1000
8,255,2850
9,66,650
10,207,3100
11,291,5450
12,124,1600
13,280,3100
14,98,6900
15,176,3200
16,493,10500
17,247,3700
18,78,790
19,131,1450
20,92,990
21,178,2800
22,46,350
23,88,599
24,384,9250
25,202,3650
26,208,2800
27,206,2399
28,249,4900
29,182,2999
30,203,3350
31,512,12900
32,129,850
33,507,14000
34,587,17300
35,315,5450
36,269,4800
37,348,5150
38,372,8999
39,321,7777
40,189,2450
41,232,4450
42,114,1600
43,243,3800
44,91,1550
45,71,850
46,404,10500
47,218,6000
48,362,8200
49,379,8500
50,377,12000
51,58,350
52,338,11599
53,65,450
54,87,1000
55,171,2499
56,381,8990
57,275,3800
58,173,3100
59,174,2850
60,403,9200
61,218,2499
62,37,142
63,122,2200
64,126,800
65,180,3200
66,108,1200
67,324,6100
68,33,200
69,148,2200
70,62,500
71,102,920
72,92,899
73,209,4000
74,506,17950
75,336,7299
76,459,11500
77,515,19780
78,100,1200
79,218,3900
80,134,1800
81,67,650
82,309,6500
83,353,6390
84,79,800
85,281,2900
86,78,749
87,707,20000
88,228,4300
89,325,7800
90,249,5500
91,191,2550
92,484,14300
93,194,4100
94,306,6750
95,166,1999
96,345,7999
97,173,2450
98,185,3000
99,185,3200
100,177,2000
101,170,3000
102,99,1399
103,176,1599
104,508,15800
105,640,17900
106,183,3000
107,268,5450
108,95,1500
109,114,1550
110,599,16000
111,220,2900
112,67,600
113,79,850
114,71,650
115,201,2999
116,413,11900
117,563,16990
118,43,275
119,151,3999
120,99,1150
121,375,7500
122,73,1450
123,60,500
124,223,3400
125,72,600
126,274,4900
127,454,10750
128,57,499
129,159,2199
130,208,5500
131,71,675
132,202,2000
133,257,6950
134,160,2500
135,663,19950
136,65,550
137,225,2500
138,499,18900
139,43,300
140,356,7490
141,105,1192
142,173,1850
143,118,1530
144,499,11590
145,227,5850
146,77,700
147,109,650
148,87,800
149,210,5399
150,103,1250
151,197,2980
152,550,18000
153,143,3590
154,22,100
155,340,5200
156,877,34900
157,210,3500
158,150,2500
159,266,4990
160,187,2550
161,207,3200
162,328,7000
163,1149,66666
164,92,1350
165,388,9500
166,545,16000
167,167,2550
168,107,1650
169,84,750
170,173,3800
171,559,15000
172,288,5899
173,633,23000
174,74,500
175,111,1999
176,157,2990
177,176,2900
178,405,9000
179,82,800
180,349,10999
181,270,4500
182,304,6450
183,281,4800
184,270,8999
185,66,650
186,115,1990
187,724,24490
188,161,2600
189,95,900
190,175,2400
191,471,14500
192,103,1100
193,137,2000
194,139,1690
195,357,6900
196,170,2390
197,66,100
198,423,12900
199,76,600
200,500,13250
201,139,2000
202,103,999
203,154,2000
204,119,1400
205,309,9000
206,723,19500
207,73,650
208,275,4990
209,443,9900
210,473,13900
211,134,1900
212,73,700
213,458,19900
214,169,2150
215,268,5250
216,104,1250
217,149,2300
218,301,5000
219,440,11000
220,162,4650
221,608,21400
222,169,2650
223,117,1299
224,50,500
225,284,4900
226,216,2900
227,83,600
228,246,3490
229,236,3150
230,584,17900
231,85,650
232,67,500
233,522,12850
234,288,4590
235,560,15400
236,304,5550
237,374,8750
238,115,1800
239,194,2900
240,88,890
241,200,2749
242,291,6300
243,435,13450
244,387,9700
245,245,4200
246,125,1250
247,144,2200
248,378,3089
249,378,7007
250,112,1300
251,394,8500
252,108,1250
253,142,2000
254,213,3400
255,172,2600
256,570,15500
257,102,1150
258,95,950
259,354,8500
260,177,2750
261,170,2650
262,62,500
263,348,6900
264,54,220
265,203,2999
266,88,850
267,306,4850
268,70,500
269,94,1350
270,192,4500
271,190,2450
272,147,900
273,43,300
274,56,500
275,291,4000
276,139,3750
277,680,29900
278,167,2500
279,175,2950
280,319,6199
281,64,600
282,90,899
283,143,1550
284,760,30700
285,222,4400
286,285,3500
287,189,3200
288,356,8100
289,91,650
290,80,400
291,168,2990
292,111,1850
293,176,4200
294,163,2700
295,324,8499
296,311,5990
297,36,200
298,459,11890
299,152,1400
300,507,14500
301,530,14200
302,409,8300
303,169,2300
304,273,5399
305,277,6500
306,239,3666
307,86,1100
308,530,20900
309,304,5750
310,68,500
311,181,2799
312,82,750
313,450,11700
314,149,1950
315,628,22000
316,838,28000
317,114,1800
318,244,4150
319,416,11000
320,79,800
321,75,750
322,218,3500
323,123,1600
324,239,4800
